rd_rte_nm,rd_rte_way,inst_plc,inst_yr,gbn,lon,lat
내삼미로,양방향,세교쌍용예가 1809동앞(세미초교)(화성초교→세미초교),2021,신호,127.0672327,37.17168502
수청로,양방향,시립매홀어린이집앞삼거리(물향기수목원→수청동제1어린이공원),2023,속도,127.0588282,37.17202804
내삼미로,양방향,세미초등학교앞(세미초교→화성초교),2023,신호,127.0653869,37.173025
북삼미로,양방향,공영주차장입구(화성오산교육지원청→세교자이아파트),2022,신호,127.0621461,37.18001605
문시로,양방향,교육지원청사거리(세교동→동탄),2023,신호,127.063207,37.189367
문시로,양방향,서동탄역더샵파크시티 116동앞(반송초교→북오산IC),2022,신호,127.066983,37.190546
북삼미로,양방향,서동탄역더샵파크시티 108동앞(삼미초교),2022,신호,127.0609513,37.19250001
북삼미로,양방향,서동탄역더샵파크시티 108동앞(삼미초교),2022,신호,127.061116,37.19339869
수청로,양방향,필봉초등학교앞(오산세교복지타운→오산소방서),2023,신호,127.0523803,37.17740121
경기대로,양방향,파크랜드사거리(병점→오산),2023,신호,127.057298,37.178132
수청로,양방향,필봉초등학교앞(오산소방서→오산세교복지타운),2023,신호,127.0521195,37.17822636
독산성로,양방향,성심학교입구삼거리(독산성음식문화거리→세마교),2023,신호,127.0167899,37.17941
독산성로,양방향,성심학교입구삼거리(세마교→독산성음식문화거리),2023,신호,127.0296356,37.18142532
수목원로,양방향,광성초등학교 맞은편(서오산JC→광성초교앞삼거리),2023,신호,127.0407341,37.183127
수목원로,양방향,광성초등학교앞(큰은혜교회→광성초교앞삼거리),2023,신호,127.040727,37.18315724
경기대로,양방향,오산오솔휴게소앞교차로(병점→오산시청),2018,신호,127.0429457,37.1941043
양산로,양방향,양산초등학교앞(병점역→양산도서관),2023,신호,127.032745,37.19626343
양산로,양방향,양산초등학교 맞은편(양산도서관→병점역),2023,신호,127.0327518,37.19626343
동부대로,양방향,오산경찰서앞사거리(오산TG→운암사거리),2022,신호,127.0782176,37.15362643
동부대로,양방향,경찰서사거리(삼성전자기흥사업장→오산시청),2018,신호,127.0809416,37.15439704
운암로,양방향,운천초교앞교차로(오산시청→오산시보건소),2022,신호,127.0783874,37.1560036
경기대로,양방향,운동장사거리(평택→병점),2023,신호,127.0725934,37.15618577
경기동로,양방향,오산시보건소앞사거리(장지동→오산종합운동장),2020,신호,127.0785768,37.1589315
현충로,양방향,새싹뜰어린이집앞(매홀고교→오산시보건소),2023,신호,127.0740567,37.16240526
현충로,양방향,새싹뜰어린이집건너편(오산시보건소→매홀고교),2023,신호,127.0736604,37.16255352
