instl_nm,instl_yr,lon,lat
현충탑 한호빌라 삼거리,2016,127.06955612,37.16311866
화성초 부근 삼익A입구,2014,127.06786771,37.16424606
오산대역 더샵 정문,2020,127.06693979,37.16789435
센트럴푸르지오 정문,2019,127.08070983,37.16057536
은계동 필봉쌈밥앞,2016,127.07448738,37.16260444
필봉터널 사거리,2022,127.069093,37.171509
세교호반베르디움 후문,2017,127.06774997,37.1755275
외삼미동 더샵 정문 삼거리,2019,127.06720904,37.19062966
성산초교 ,2021,127.065656,37.149256
남촌대교,2010,127.06347585,37.14960093
오산대 정문,2018,127.06326348,37.15306771
궐동 노틀담수녀원 옆,2016,127.05517817,37.15377278
궐동 양평해장국 사거리,2016,127.05677518,37.15573513
궐동프라자 삼거리,2009,127.06487838,37.15647946
궐동 한성빌리지 공영주차장,2016,127.05625773,37.15680026
궐동 아씨닭발뒤,2016,127.05463838,37.15721702
차량등록사업소,2019,127.06442487,37.15815961
궐리사 주차장 앞,2007,127.06232595,37.15846797
한라아파트정문,2011,127.04984044,37.14176189
가수초교,2021,127.049117,37.147519
궐동 무안집 앞,2013,127.05291443,37.15630264
GS25 궐동 승리점 앞,2017,127.05349812,37.15660409
센트하임 앞,2017,127.05344624,37.1580605
고래등포차 앞,2017,127.05328225,37.15816257
센트하임앞 농수산물센터,2013,127.05286041,37.16003208
궐동우남퍼스트빌 후문 버스정류장,2022,127.054176,37.163465
궐동 608-2 사거리,2015,127.05283204,37.16377236
지곶동 티로보틱스앞 ,2018,127.026524,37.16945029
궐리사 정문앞,2009,127.06249104,37.15856754
법원앞,2007,127.05916883,37.15926149
대호초교 정문앞 사거리,2021,127.05763,37.159793
제일하이빌,2007,127.05435205,37.16007192
궐동 평화교회,2010,127.06560326,37.16140603
대호중 앞,2012,127.05717401,37.16142424
궐동 매홀초 앞 사거리,2016,127.06302655,37.16197289
GS25 오산타운점 맞은편,2017,127.05428414,37.16209328
대우A 뚜레주르앞,2018,127.06237777,37.16401179
오산대역 더삽 후문,2020,127.06490316,37.16909208
스마트시티 상황실 앞,2014,127.06661908,37.16934326
오산대역 2번출입구,2019,127.06241752,37.16954026
홈플러스 앞 사거리,2019,127.06144678,37.16972783
물향기지하도 사거리,2014,127.06622236,37.17109556
스타트요양병원앞,2014,127.0605626,37.1718653
세교호반베르디움 정문,2017,127.06582935,37.17482492
우미아파트 프라자빌,2016,127.05751684,37.17529869
오산미니어처 전시관앞,2018,127.06393011,37.17578087
세교자이 후문삼거리,2018,127.06251385,37.17620189
내삼미동 임마누엘교회 옆,2016,127.05665175,37.17623692
세교6단지 앞,2020,127.04105427,37.17021104
지곶동 대림 후문삼거리,2018,127.02782796,37.17035235
지곶동 대림 정문삼거리,2018,127.02824831,37.17104564
금암동 파리바게트앞,2014,127.05078022,37.1743486
문시초교,2021,127.044687,37.174509
세교요양병원 앞,2014,127.0500072,37.17509999
세교9단지 후문 상가도로,2019,127.05083302,37.17586222
세교우체국앞 사거리,2021,127.05393,37.175961
세교프라자 뒤편(구 세교사우나),2017,127.04574731,37.17639655
세교4-5단지 사거리,2011,127.04410648,37.17641993
세교5단지 롯데슈퍼,2011,127.04616302,37.17707177
금암동 오산침례교회 사거리,2011,127.04672856,37.17784419
세교8단지 입구,2012,127.04779041,37.17844923
필봉초교앞 사거리,2021,127.051435,37.178746
광성초교 앞,2014,127.04103137,37.18329951
세마타워 앞,2012,127.04211072,37.18562263
세마역삼거리,2012,127.04348301,37.18604734
세마타워 뒤,2012,127.04241264,37.18630936
세마역앞,2011,127.04245636,37.18692742
세교1단지 사거리,2014,127.04017389,37.18712928
외삼미동 더샵 정문앞,2019,127.06604924,37.19163211
삼성본병원앞 삼거리,2019,127.06130515,37.19292105
외삼미동 더샵 후문 입구,2019,127.0623798,37.19345979
세교지식산업센터앞,2021,127.041863,37.188332
한신대 GS25 앞,2008,127.02312945,37.19610402
양산초교앞 사거리,2021,127.032735,37.197862
