sgg_nm,rd_type,addr,rd_no,rd_nm,lon,lat
오산시,기타,경기도 오산시 원동 299-32,,말머리로,127.0737772,37.14173051
오산시,일반국도,경기도 오산시 원동 360-2,1번,경기대로,127.0734874,37.14014573
오산시,일반국도,경기도 오산시 원동 372-1,1번,경기대로,127.073793,37.14027925
오산시,일반국도,경기도 오산시 원동 360-2,1번,경기대로,127.0734874,37.14014573
오산시,일반국도,경기도 오산시 원동 372-1,1번,경기대로,127.073793,37.14027925
오산시,일반국도,경기도 오산시 원동 360-2,1번,경기대로,127.0734447,37.14014573
오산시,일반국도,경기도 오산시 원동 393-4,1번,경기대로,127.0736189,37.1390017
오산시,일반국도,경기도 오산시 원동 360-2,1번,경기대로,127.0734874,37.14014573
오산시,일반국도,경기도 오산시 원동 360-22,1번,경기대로,127.0733035,37.1386121
오산시,일반국도,경기도 오산시 원동 391-4,1번,경기대로,127.0735932,37.1385782
오산시,일반국도,경기도 오산시 원동 419-6,1번,경기대로,127.0729746,37.13720453
오산시,일반국도,경기도 오산시 원동 808,1번,경기대로,127.0709337,37.13585893
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 507-5,1번,경기대로,127.0726725,37.13611082
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 807,1번,경기대로,127.0705752,37.13357768
오산시,일반국도,경기도 오산시 원동 472-6,1번,경기대로,127.0725298,37.13331383
오산시,일반국도,경기도 오산시 원동 904,1번,경기대로,127.0732569,37.13162465
오산시,시도,경기도 오산시 원동 792,,대원로,127.073524,37.14560421
오산시,시도,경기도 오산시 원동 792,,대원로,127.073524,37.14560421
오산시,국가지원지방도,경기도 오산시 부산동 177-27,82번,경기동로,127.086306,37.1587105
오산시,국가지원지방도,경기도 오산시 부산동 222-2,82번,경기동로,127.0863305,37.15935452
오산시,국가지원지방도,경기도 오산시 부산동 222-2,82번,경기동로,127.0863305,37.15935452
오산시,국가지원지방도,경기도 오산시 부산동 177-32,82번,경기동로,127.0865286,37.1589063
오산시,국가지원지방도,경기도 오산시 부산동 177-32,82번,경기동로,127.0865286,37.1589063
오산시,일반국도,경기도 오산시 원동 419-4,1번,경기대로,127.0732229,37.13708472
오산시,일반국도,경기도 오산시 원동 419-4,1번,경기대로,127.0732229,37.13708472
오산시,일반국도,경기도 오산시 원동 419-4,1번,경기대로,127.0732229,37.13708472
오산시,일반국도,경기도 오산시 원동 507-5,1번,경기대로,127.0726725,37.13611082
오산시,일반국도,경기도 오산시 원동 507-5,1번,경기대로,127.0726725,37.13611082
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 505-1,1번,경기대로,127.0729006,37.13564246
오산시,일반국도,경기도 오산시 원동 808,1번,경기대로,127.0709337,37.13585893
오산시,시도,경기도 오산시 부산동 782,,동부대로,127.0809416,37.15439704
오산시,시도,경기도 오산시 부산동 622,,성호대로,127.0841542,37.14756494
오산시,시도,경기도 오산시 부산동 622,,성호대로,127.0841542,37.14756494
오산시,시도,경기도 오산시 부산동 622,,성호대로,127.0841542,37.14756494
오산시,시도,경기도 오산시 부산동 622,,성호대로,127.0841542,37.14756494
오산시,시도,경기도 오산시 부산동 624-1,,성호대로,127.0839185,37.14801831
오산시,시도,경기도 오산시 부산동 624-1,,성호대로,127.0839185,37.14801831
오산시,시도,경기도 오산시 부산동 624-1,,성호대로,127.0839185,37.14801831
오산시,국가지원지방도,경기도 오산시 부산동 780,82번,경기동로,127.0798367,37.1588058
오산시,국가지원지방도,경기도 오산시 부산동 780,82번,경기동로,127.0798367,37.1588058
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 원동 792,,오산로,127.073524,37.14560421
오산시,기타,경기도 오산시 원동 792,,대원로,127.073524,37.14560421
오산시,기타,경기도 오산시 원동 215-3,,대원로,127.0742872,37.14622479
오산시,기타,경기도 오산시 원동 215-3,,대원로,127.0742872,37.14622479
오산시,기타,경기도 오산시 원동 815-1,,대원로,127.0753641,37.14596567
오산시,기타,경기도 오산시 원동 815-1,,대원로,127.0753641,37.14596567
오산시,기타,경기도 오산시 원동 815-1,,대원로,127.0753641,37.14596567
오산시,기타,경기도 오산시 원동 819,,대원로,127.0762273,37.14737589
오산시,기타,경기도 오산시 원동 819,,대원로,127.0762273,37.14737589
오산시,기타,경기도 오산시 원동 817,,운천로,127.0744738,37.14758094
오산시,기타,경기도 오산시 원동 817,,운천로,127.0744738,37.14758094
오산시,기타,경기도 오산시 원동 817,,운천로,127.0744738,37.14758094
오산시,기타,경기도 오산시 원동 819,,대원로,127.0762273,37.14737589
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,국가지원지방도,경기도 오산시 부산동 790-2,82번,경기동로,127.0956711,37.1575049
오산시,국가지원지방도,경기도 오산시 부산동 790-2,82번,경기동로,127.0956711,37.1575049
오산시,국가지원지방도,경기도 오산시 부산동 790-2,82번,경기동로,127.0956711,37.1575049
오산시,국가지원지방도,경기도 오산시 부산동 790-2,82번,경기동로,127.0955103,37.1572618
오산시,국가지원지방도,경기도 오산시 부산동 790-2,82번,경기동로,127.0955103,37.1572618
오산시,기타,경기도 오산시 부산동 622,,부원로19번길,127.0841846,37.14756494
오산시,시도,경기도 오산시 지곶동 27-8,,지곶중앙로,127.0317231,37.1813971
오산시,시도,경기도 오산시 지곶동 산 76-2,,지곶중앙로,127.0315776,37.18129284
오산시,기타,경기도 오산시 원동 623-43,,동부대로436번길,127.0831839,37.1398851
오산시,기타,경기도 오산시 원동 623-43,,동부대로436번길,127.0831839,37.1398851
오산시,기타,경기도 오산시 원동 623-52,,동부대로436번길,127.083558,37.139824
오산시,기타,경기도 오산시 원동 623-51,,동부대로436번길,127.0832569,37.1398107
오산시,기타,경기도 오산시 원동 623-51,,동부대로436번길,127.0835834,37.1398961
오산시,기타,경기도 오산시 원동 623-51,,동부대로436번길,127.0835834,37.1398961
오산시,기타,경기도 오산시 원동 623-32,,동부대로436번길,127.0834638,37.1399997
오산시,시도,경기도 오산시 원동 640,,남부대로,127.0839046,37.1384633
오산시,시도,경기도 오산시 원동 640,,남부대로,127.0839046,37.1384633
오산시,시도,경기도 오산시 원동 639-28,,남부대로,127.0835397,37.1385085
오산시,시도,경기도 오산시 원동 826-1,,남부대로,127.0822833,37.13747344
오산시,시도,경기도 오산시 원동 640-1,,남부대로,127.0838116,37.1381525
오산시,시도,경기도 오산시 원동 644-3,,남부대로,127.083604,37.13644156
오산시,시도,경기도 오산시 원동 644-3,,남부대로,127.0836398,37.13644156
오산시,시도,경기도 오산시 원동 644-3,,남부대로,127.083689,37.13644156
오산시,시도,경기도 오산시 원동 644-3,,남부대로,127.083689,37.13644156
오산시,시도,경기도 오산시 원동 826-1,,남부대로,127.0822833,37.13747344
오산시,기타,경기도 오산시 원동 634-4,,말머리로,127.0805581,37.13650718
오산시,기타,경기도 오산시 원동 634-4,,말머리로,127.0805581,37.13650718
오산시,기타,경기도 오산시 원동 634-4,,말머리로,127.0805581,37.13650718
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 778-4,,운암로,127.0797631,37.15595103
오산시,기타,경기도 오산시 부산동 778-4,,운암로,127.0797631,37.15595103
오산시,기타,경기도 오산시 부산동 785,,운암로,127.078386,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.078386,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.078386,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 87-12,,지곶중앙로,127.0286367,37.1794268
오산시,시도,경기도 오산시 지곶동 87-12,,지곶중앙로,127.0286367,37.1794268
오산시,시도,경기도 오산시 지곶동 87-12,,지곶중앙로,127.0286367,37.1794268
오산시,시도,경기도 오산시 지곶동 534-63,,지곶중앙로,127.0286362,37.17913868
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,시도,경기도 오산시 지곶동 37-7,,지곶중앙로,127.0270199,37.17821746
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 790-7,1번,경기대로,127.0736117,37.14321779
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 787-21,1번,경기대로,127.0731891,37.142867
오산시,시도,경기도 오산시 원동 300-34,,원동로,127.0730905,37.14249012
오산시,시도,경기도 오산시 원동 792,,원동로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 299-3,1번,경기대로,127.0734363,37.14235316
오산시,일반국도,경기도 오산시 원동 299-3,1번,경기대로,127.0734363,37.14235316
오산시,일반국도,경기도 오산시 원동 299-3,1번,경기대로,127.0734363,37.14235316
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732864,37.1404289
오산시,일반국도,경기도 오산시 원동 360-6,1번,경기대로,127.0727039,37.14066107
오산시,일반국도,경기도 오산시 원동 333-19,1번,경기대로,127.0732847,37.1404289
오산시,일반국도,경기도 오산시 원동 373-4,1번,경기대로,127.0737769,37.14115446
오산시,일반국도,경기도 오산시 원동 373-4,1번,경기대로,127.0737769,37.14115446
오산시,국가지원지방도,경기도 오산시 부산동 84-6,82번,경기동로,127.090206,37.1586243
오산시,국가지원지방도,경기도 오산시 부산동 159-2,82번,경기동로,127.090007,37.1588248
오산시,국가지원지방도,경기도 오산시 부산동 160-2,82번,경기동로,127.0904597,37.1588224
오산시,국가지원지방도,경기도 오산시 부산동 161-11,82번,경기동로,127.0906592,37.15858966
오산시,국가지원지방도,경기도 오산시 부산동 161-2,82번,경기동로,127.090971,37.1588222
오산시,국가지원지방도,경기도 오산시 부산동 161-2,82번,경기동로,127.090971,37.1588222
오산시,국가지원지방도,경기도 오산시 부산동 84-17,82번,경기동로,127.091975,37.1585281
오산시,국가지원지방도,경기도 오산시 부산동 790,82번,경기동로,127.0922495,37.15696702
오산시,국가지원지방도,경기도 오산시 부산동 790,82번,경기동로,127.0922495,37.15696702
오산시,국가지원지방도,경기도 오산시 부산동 76-9,82번,경기동로,127.0926237,37.1586448
오산시,국가지원지방도,경기도 오산시 부산동 76-19,82번,경기동로,127.092698,37.1588566
오산시,국가지원지방도,경기도 오산시 부산동 76-19,82번,경기동로,127.092698,37.1588566
오산시,국가지원지방도,경기도 오산시 부산동 1-3,82번,경기동로,127.0942076,37.1587181
오산시,시도,경기도 오산시 세교동 624-2,,수목원로,127.0415982,37.18312988
오산시,시도,경기도 오산시 세교동 624-2,,수목원로,127.0415982,37.18312988
오산시,시도,경기도 오산시 세교동 622-4,,수목원로,127.0414607,37.18343508
오산시,시도,경기도 오산시 세교동 622-4,,수목원로,127.0414607,37.18343508
오산시,시도,경기도 오산시 세교동 622,,수목원로,127.0411622,37.18375209
오산시,시도,경기도 오산시 세교동 623-1,,수목원로,127.0403623,37.1833518
오산시,시도,경기도 오산시 세교동 623-1,,수목원로,127.0403623,37.1833518
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 819,1번,경기대로,127.0762273,37.14737589
오산시,일반국도,경기도 오산시 원동 819,1번,경기대로,127.0762273,37.14737589
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 757-18,1번,경기대로,127.0732247,37.14666317
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 792,1번,경기대로,127.073524,37.14560421
오산시,일반국도,경기도 오산시 원동 757-18,1번,경기대로,127.0732247,37.14666317
오산시,국가지원지방도,경기도 오산시 부산동 1-7,82번,경기동로,127.0940892,37.1589523
오산시,국가지원지방도,경기도 오산시 부산동 1-8,82번,경기동로,127.0941597,37.15886433
오산시,국가지원지방도,경기도 오산시 부산동 2-1,82번,경기동로,127.0941483,37.1586993
오산시,기타,경기도 오산시 부산동 783,,운천로,127.0798565,37.15538536
오산시,기타,경기도 오산시 부산동 783,,운천로,127.0798565,37.15538536
오산시,기타,경기도 오산시 부산동 779-3,,운천로,127.0803671,37.15379393
오산시,시도,경기도 오산시 부산동 779-3,,동부대로,127.0803671,37.15379393
오산시,시도,경기도 오산시 부산동 779-3,,동부대로,127.0803671,37.15379393
오산시,시도,경기도 오산시 세교동 509-15,,독산성로,127.0362067,37.1849458
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,지방도,경기도 오산시 가장동 117-3,310번,가장로,127.0305356,37.16150428
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,기타,경기도 오산시 가장동 405,,가장산업서북로,127.0319829,37.16510443
오산시,시도,경기도 오산시 오산동 939,,동부대로,127.0791154,37.15062019
오산시,시도,경기도 오산시 오산동 939,,동부대로,127.0791154,37.15062019
오산시,시도,경기도 오산시 오산동 939,,동부대로,127.0791154,37.15062019
오산시,기타,경기도 오산시 오산동 937,,운천로,127.0745862,37.15127166
오산시,기타,경기도 오산시 오산동 937,,운천로,127.0745862,37.15127166
오산시,기타,경기도 오산시 오산동 937,,운천로,127.0745862,37.15127166
오산시,기타,경기도 오산시 내삼미동 331-5,,북삼미로,127.063086,37.18560693
오산시,기타,경기도 오산시 내삼미동 331-5,,북삼미로,127.063086,37.18560693
오산시,일반국도,경기도 오산시 내삼미동 484-34,1번,경기대로,127.0559714,37.17890425
오산시,일반국도,경기도 오산시 내삼미동 484-34,1번,경기대로,127.0559714,37.17890425
오산시,일반국도,경기도 오산시 내삼미동 484-34,1번,경기대로,127.0559714,37.17890425
오산시,일반국도,경기도 오산시 내삼미동 484-34,1번,경기대로,127.0559714,37.17890425
오산시,일반국도,경기도 오산시 내삼미동 466-10,1번,경기대로,127.0570995,37.1782996
오산시,일반국도,경기도 오산시 내삼미동 466-10,1번,경기대로,127.0570995,37.1782996
오산시,일반국도,경기도 오산시 내삼미동 466-10,1번,경기대로,127.0570995,37.1782996
오산시,일반국도,경기도 오산시 내삼미동 466-10,1번,경기대로,127.0570995,37.1782996
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,기타,경기도 오산시 수청동 579,,수청로,127.0585566,37.17213145
오산시,시도,경기도 오산시 수청동 604,,오산대역로,127.0595494,37.17025682
오산시,시도,경기도 오산시 수청동 604,,오산대역로,127.0595494,37.17025682
오산시,시도,경기도 오산시 수청동 604,,오산대역로,127.0595494,37.17025682
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 수청동 613,,청학로,127.0616438,37.17063894
오산시,기타,경기도 오산시 청학동 37-30,,청학로,127.062067,37.15102505
오산시,기타,경기도 오산시 청학동 37-30,,청학로,127.062067,37.15102505
오산시,시도,경기도 오산시 서동 247-1,,서동로,127.039038,37.15002451
오산시,시도,경기도 오산시 서동 247-1,,서동로,127.039038,37.15002451
오산시,시도,경기도 오산시 서동 247-1,,서동로,127.039038,37.15002451
오산시,시도,경기도 오산시 서동 633-1,,서동로,127.0385374,37.14524192
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 2-15,310번,가장로,127.0473944,37.156275
오산시,지방도,경기도 오산시 서동 4-4,310번,가장로,127.0442132,37.156392
오산시,일반국도,경기도 오산시 오산동 59-7,1번,경기대로,127.0725934,37.15618577
오산시,일반국도,경기도 오산시 오산동 59-7,1번,경기대로,127.0725934,37.15618577
오산시,기타,경기도 오산시 오산동 48-19,,오산천로,127.0683618,37.15482128
오산시,기타,경기도 오산시 오산동 48-19,,오산천로,127.0683618,37.15482128
오산시,기타,경기도 오산시 오산동 48-19,,오산천로,127.0683925,37.1548307
오산시,기타,경기도 오산시 오산동 392-2,,오산로,127.0685054,37.15452219
오산시,기타,경기도 오산시 오산동 392-2,,오산로,127.0685054,37.15452219
오산시,기타,경기도 오산시 오산동 399,,오산로,127.0682016,37.15420208
오산시,기타,경기도 오산시 오산동 399,,오산로,127.0682016,37.15420208
오산시,기타,경기도 오산시 오산동 816-49,,오산천로,127.0680422,37.15461671
오산시,기타,경기도 오산시 오산동 48-19,,오산천로,127.0683925,37.15482128
오산시,국가지원지방도,경기도 오산시 오산동 55-3,82번,경기동로,127.0744076,37.15661283
오산시,국가지원지방도,경기도 오산시 오산동 55-3,82번,경기동로,127.0744076,37.15661283
오산시,국가지원지방도,경기도 오산시 오산동 55-3,82번,경기동로,127.0744076,37.15661283
오산시,기타,경기도 오산시 수청동 555,,청학로,127.0639978,37.1641046
오산시,기타,경기도 오산시 수청동 555,,청학로,127.063931,37.1641046
오산시,기타,경기도 오산시 수청동 555,,청학로,127.063931,37.1641046
오산시,기타,경기도 오산시 수청동 555,,청학로,127.063931,37.1641046
오산시,기타,경기도 오산시 수청동 555,,청학로,127.063931,37.1641046
오산시,기타,경기도 오산시 궐동 600,,청학로,127.0642473,37.16038459
오산시,기타,경기도 오산시 궐동 600,,청학로,127.0642473,37.16038459
오산시,기타,경기도 오산시 궐동 600,,청학로,127.0642473,37.16038459
오산시,기타,경기도 오산시 궐동 600,,청학로,127.0642473,37.16038459
오산시,일반국도,경기도 오산시 은계동 65,1번,경기대로,127.0695938,37.16011991
오산시,일반국도,경기도 오산시 은계동 65,1번,경기대로,127.0695938,37.16011991
오산시,일반국도,경기도 오산시 은계동 65,1번,경기대로,127.0695938,37.16011991
오산시,일반국도,경기도 오산시 은계동 65,1번,경기대로,127.0695938,37.16011991
오산시,시도,경기도 오산시 내삼미동 901,,삼미로,127.062256,37.17372456
오산시,시도,경기도 오산시 내삼미동 901,,삼미로,127.062256,37.17372456
오산시,기타,경기도 오산시 수청동 638,,청학로,127.0637152,37.17027821
오산시,기타,경기도 오산시 수청동 638,,청학로,127.0637152,37.17027821
오산시,일반국도,경기도 오산시 수청동 638,1번,경기대로,127.0637152,37.17027821
오산시,일반국도,경기도 오산시 수청동 638,1번,경기대로,127.0637152,37.17027821
오산시,일반국도,경기도 오산시 수청동 638,1번,경기대로,127.0637152,37.17027821
오산시,일반국도,경기도 오산시 수청동 638,1번,경기대로,127.0637152,37.17027821
오산시,기타,경기도 오산시 가수동 30-1,,가수로,127.0468127,37.147456
오산시,기타,경기도 오산시 가수동 30-1,,가수로,127.0468127,37.147456
오산시,기타,경기도 오산시 가수동 13-4,,가수로,127.049144,37.14661136
오산시,기타,경기도 오산시 가수동 13-4,,가수로,127.049144,37.14661136
오산시,기타,경기도 오산시 가수동 13-4,,가수로,127.049144,37.14661136
오산시,기타,경기도 오산시 가수동 13-4,,가수로,127.049144,37.14661136
오산시,기타,경기도 오산시 가수동 13-4,,가수로,127.049144,37.14661136
오산시,기타,경기도 오산시 가수동 52-3,,가수로,127.049201,37.14549101
오산시,기타,경기도 오산시 가수동 52-3,,가수로,127.049201,37.14549101
오산시,기타,경기도 오산시 가수동 52-3,,가수로,127.049201,37.14549101
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,국가지원지방도,경기도 오산시 가수동 391-29,82번,가수로,127.0556753,37.14367088
오산시,시도,경기도 오산시 가수동 389-4,,수목원로,127.061913,37.14772281
오산시,시도,경기도 오산시 가수동 389-4,,수목원로,127.061913,37.14772281
