road_nm,inst_plc,fac_hght,fac_wdth,fac_lngth,sprtn,cntns,lon,lat
남부대로,고현초 인근,10,360,500,N,N,127.0845954,37.1339844
남부대로,오산오토 앞,10,360,500,Y,N,127.0832647,37.1341047
남부대로,오산빌리지 인근,10,360,700,Y,N,127.0828768,37.1344294
남부대로,카페도란도란 부근,10,360,300,N,N,127.0835718,37.1344807
남부대로,우촌경노회관 인근,10,360,500,Y,N,127.0845932,37.1345363
남부대로,카페도란도란 앞,10,360,300,N,N,127.0836131,37.1345798
남부대로,이림유치원 앞,10,360,500,N,N,127.0846393,37.1355364
남부대로,CU 원동푸르지오점 앞,10,360,900,Y,N,127.0825157,37.13607861
남부대로,오산원동푸르지오아파트 112동 앞,10,360,600,Y,N,127.0832164,37.13616823
남부대로441번길,남부대로441번길 35 앞,10,360,300,N,N,127.0843199,37.13666303
남부대로441번길,남부대로441번길 39 앞,10,360,300,N,N,127.0844357,37.13706392
남부대로,지예뜰유치원 버스정류장 앞,10,360,600,Y,N,127.0836507,37.13712079
남부대로,고현아이파크 정문,10,360,800,Y,N,127.0811854,37.1340634
남부대로,베스트홍치과 부근,10,360,1100,Y,N,127.0821431,37.1350207
남부대로,천상대게 앞,0,360,600,Y,N,127.0801743,37.1357175
경기대로148번길,하나님의교회 앞,10,360,600,Y,N,127.0755637,37.13665542
밀머리로,경기대로148번길 24 앞,10,360,600,N,N,127.0753225,37.1373584
밀머리로,장모님감자탕 앞,10,360,600,Y,N,127.0755339,37.13781105
경기대로148번길,공룡국수 앞,10,360,600,N,N,127.0749459,37.13784747
동부대로,세븐일레븐 오산태영지강점 앞,10,360,600,Y,N,127.0768823,37.13842065
동부대로,오산태영아파트 101동 앞,10,360,600,Y,N,127.0765137,37.1384254
밀머리로,박군치킨 원동점 앞,10,360,600,Y,N,127.0749635,37.13857957
경기대로,감탄떡볶이 원동점 앞,10,360,600,Y,N,127.0721287,37.13413234
남부대로,한국전력공사 오산지사 주차장입구 앞,10,360,600,Y,N,127.0721269,37.13520911
남부대로,원동 513-4번지,10,360,300,Y,N,127.073067,37.135679
경기대로,KFC 오산DT점 주차장앞,10,360,400,Y,N,127.0735551,37.13696079
경기대로148번길,오산농협 원동지점 앞,10,360,600,Y,N,127.0736432,37.13789559
오산로132번길,오산원일중학교 앞,10,360,600,Y,N,127.0719427,37.13975507
오산로132번길,이마트 주차장 출구앞,10,360,600,Y,N,127.0719713,37.14022811
밀머리로1번길,원리주공아파트.한국병원.이마트 버스정류장 앞,10,360,600,Y,N,127.0741814,37.14157383
오산로178번길,오산로178번길 34 앞,10,360,400,N,N,127.0721569,37.14308661
경기대로,경기대로 207-17 앞,10,360,400,N,N,127.0726016,37.14323502
경기대로,갈곶초 부근,10,360,300,Y,N,127.0712513,37.1256426
엘지로,한일아파트 앞,10,360,600,Y,N,127.0705264,37.126667
엘지로,한일아파트 앞,10,360,600,Y,N,127.0703494,37.1268663
엘지로,오산시현대힐스테이트 후문,10,360,600,Y,N,127.0696521,37.1273285
경기대로,오산가구아울렛 앞,10,360,500,N,N,127.0697601,37.1285313
경기대로,순복음오산교회 앞,10,360,300,N,N,127.0703679,37.1286797
경기대로,예솔어린이집 옆,10,360,600,Y,N,127.0710103,37.1296659
오산로,오산세종병원 앞,10,360,700,Y,N,127.0669601,37.1277265
경기대로,재경주택 옆,10,360,600,Y,N,127.0686544,37.1284464
경기대로,재경주택 옆,10,360,300,Y,N,127.0686433,37.1287032
오산로,원조남원추어탕 부근,10,360,700,Y,N,127.0672367,37.1287986
경기대로,N마트 옆,10,360,600,Y,N,127.0684722,37.1291899
오산로,N마트 부근,10,360,800,Y,N,127.0683065,37.1295256
오산로,화남아파트 내부,10,360,500,Y,N,127.0671025,37.1297245
오산로,화남아파트 정문,10,360,500,Y,N,127.0672264,37.1297741
오산로,화남아파트 내부,10,360,500,Y,N,127.0668803,37.1298081
오산로,태양아파트 옆,10,360,600,Y,N,127.0680226,37.1298434
오산로,화남아파트 내부,10,360,500,Y,N,127.0670407,37.1298597
오산로,소망빌 앞,10,360,600,Y,N,127.0690168,37.1310142
오산로,오산KCC스위첸아파트 정문 앞,10,360,900,Y,N,127.0678948,37.1316073
오산로,오산KCC스위첸아파트 인근,10,360,600,Y,N,127.0678136,37.13213001
오산로,양지뜰 앞,10,360,700,Y,N,127.0682868,37.1326185
오산로,우방힐타운아파트 내부,10,360,500,N,N,127.0674465,37.1336958
오산로,우방힐타운아파트 정문,10,360,700,N,N,127.0686761,37.1337063
오산로,우방힐타운아파트 정문,10,360,300,Y,N,127.0689095,37.1337131
오산로,우방힐타운아파트 내부,10,360,500,N,N,127.0674915,37.1337476
경기대로,동부아파트 부근,10,360,600,Y,N,127.0700403,37.1303851
오산로,갈곶원룸텔 앞,10,360,600,Y,N,127.0698157,37.1308403
오산로,대원벨칸토음악학원 앞,10,360,600,Y,N,127.0712538,37.1313688
오산로,MTA독수리태권도 부근,10,360,500,Y,N,127.0693099,37.1315524
오산로,EMA학원 뒤,10,360,300,Y,N,127.0708799,37.1316101
오산로,MTA독수리태권도 앞,10,360,500,Y,N,127.0695577,37.1318429
경기대로,동부삼환아파트 101동 원동두산아파트 102동 사이 도로,10,360,600,Y,N,127.0693485,37.13372401
경기대로,동부삼환 버스정류장 좌측 20m,10,360,600,Y,N,127.0710563,37.13372525
경기대로,동부삼환아파트 102동 원동두산아파트 101동 사이 도로,10,360,600,Y,N,127.0700969,37.13374159
오산로132번길,미니스톱 오산대림점,10,360,600,Y,N,127.0698821,37.13879217
오산로,화남아파트 내부,10,360,500,Y,N,127.0668071,37.1296346
오산로,한솔솔파크아파트 내부,10,360,500,Y,N,127.0668136,37.1339282
오산로,한솔솔파크아파트 후문,10,360,500,Y,N,127.0668649,37.1346062
오산천로,맑음터공원 캠핑장 8시방면,10,360,1200,Y,N,127.0625872,37.13677336
오산천로,맑음터공원 캠핑장 11시방면 70m,10,360,1200,Y,N,127.0629733,37.1375278
오산동,오산동 750,10,360,300,N,N,127.06429,37.14106
오산동,오산동 750,10,360,300,N,N,127.06429,37.14106
오산동,오산동 750,10,360,300,N,N,127.06429,37.14106
성호대로40번길,성호대로40번길 34 앞,10,360,400,N,N,127.0646443,37.14696325
성호대로40번길,위너스빌 앞,10,360,400,N,N,127.0653647,37.14697637
오산로,우방힐타운아파트 내부,10,360,500,N,N,127.0683328,37.1338102
오산로,오산로 81 앞,10,360,1200,Y,N,127.0690311,37.13426483
오산로,한솔솔파크아파트 주차장앞,10,360,700,Y,N,127.0670645,37.1346644
오산로,오산로 91-10 앞,10,360,1200,Y,N,127.0689506,37.13547456
오산로,대림아파트 버스정류장 우측 30m,10,360,1200,Y,N,127.0687437,37.14007685
오산로,오산로 177-10 앞,10,360,400,N,N,127.0675277,37.14272441
역광장로,역광장로28 앞,10,360,900,Y,N,127.0670045,37.14290943
오산로,오산로 183-10 앞,10,360,400,N,N,127.0676351,37.14321318
오산로,오산로 189-3 앞,10,360,700,Y,N,127.0680464,37.14374006
역광장로,래경빌딩 앞,10,360,1000,Y,N,127.067419,37.14385305
오산로132번길,원동e편한세상1단지 입구 앞,10,360,600,Y,N,127.0705322,37.13889315
오산로160번길,세븐일레븐 오산대림중앙점 앞,10,360,600,Y,N,127.0697577,37.14118005
오산로160번길,파리바게뜨 오산원동점 앞,10,360,1200,Y,N,127.0705119,37.14128323
오산로178번길,경일연립 가동 앞,10,360,400,N,N,127.0707892,37.14298156
원동로7번길,불멸의아구찜앞,10,360,400,N,N,127.0693148,37.14303199
오산로178번길,오산로178번길 28 앞,10,360,400,N,N,127.0715181,37.14304195
오산로178번길,오뚜기슈퍼앞,10,360,400,N,N,127.0706348,37.14332406
오산로190번길,한성각 앞,10,360,600,Y,N,127.0706973,37.14397053
오산로190번길,오산로190번길 25 앞,10,360,600,Y,N,127.0712488,37.14399949
원동로37번길,엉클족 오산점 앞,10,360,600,Y,N,127.071415,37.14416608
원동로7번길,에이스장 앞,10,360,400,N,N,127.0692315,37.14423721
오산로198번길,삼거리주막 앞,10,360,400,N,N,127.0704839,37.14450003
오산로198번길,오산로198번길 7 앞,10,360,400,N,Y,127.0693274,37.1445345
오산로198번길,오산로198번길 5 앞,10,360,400,N,Y,127.0691276,37.14453462
원동로37번길,원동로37번길 27 앞,10,360,600,Y,N,127.0710328,37.14463937
오산로198번길,원동로37번길 27 앞,10,360,400,N,N,127.0708499,37.14466651
원동로37번길,항아리 앞,10,360,600,Y,N,127.0708557,37.14483545
원동로7번길,원동로7번길 28 앞,10,360,400,N,N,127.0692349,37.14487921
원동로7번길,원동로7번길 29 앞,10,360,400,N,N,127.0692294,37.14501663
오산로198번길,오산로198번길 27 앞,10,360,400,N,Y,127.0714975,37.14507385
역광장로,만나인력 앞,10,360,600,Y,N,127.0674981,37.14426074
역광장로,경화 빌딩 앞,10,360,600,Y,N,127.0675859,37.14488016
역광장로,광산빌딩 cu 앞,10,360,700,N,N,127.0678921,37.14746153
오산로232번길,오산로232번길 5 앞,10,360,400,N,N,127.0690489,37.14766585
오산로232번길,아라리만두 앞,10,360,400,N,N,127.0688491,37.14767047
성호대로55번길,성호대로55번길 11 앞,10,360,400,N,N,127.0677058,37.14995081
성호대로55번길,성호대로55번길 16 앞,10,360,400,N,N,127.0677427,37.15036753
성산새싹길16번길,성산새싹16번길 14 앞,10,360,400,N,N,127.0669383,37.15081852
성호대로55번길,성호대로55번길 26 앞,10,360,400,N,N,127.0678053,37.15108834
역광장로83번길,성호대로55번길 25-2 역광장로 83번길 사이,10,360,500,Y,N,127.0675381,37.15131601
성호대로40번길,윤현빌리지 앞,10,360,400,Y,N,127.0655814,37.14708663
성호대로50번길,비젼빌 앞,10,360,400,N,N,127.0654664,37.14744036
성호대로50번길,다솜교회 앞,10,360,400,N,N,127.0645237,37.14744539
성호대로28번길,성호대로50번길 38-1 앞,10,360,300,N,N,127.0643099,37.14753336
성호대로40번길,성호대로40번길 20 앞,10,360,600,N,N,127.0655903,37.14754167
성호대로28번길,성호대로28번길 15-16 앞,10,360,300,N,N,127.0652276,37.14794284
성호대로40번길,성호대로40번길 14,10,360,600,N,N,127.0656076,37.14804174
성호대로28번길,성호대로28번길 13 앞,10,360,300,N,N,127.0643442,37.14822941
성호대로40번길,성호대로40번길 10 앞,10,360,600,N,N,127.0656051,37.1483864
오산천로158번길,오산천로158번길 15 앞,10,360,700,N,N,127.0650452,37.14851736
밀머리로,푸른초장교회 앞,10,360,600,Y,N,127.0747896,37.13912031
밀머리로,포유25 오산제일점 앞,10,360,600,Y,N,127.0745427,37.13979852
동부대로436번길,동부대로436번길 39 앞,10,360,600,Y,N,127.0820669,37.13997376
동부대로436번길,성호중고등학교 버스정류장 앞,10,360,600,Y,N,127.0814763,37.14023322
밀머리로1번길,동우종합설비,10,360,600,Y,N,127.075711,37.14044879
동부대로436번길,당골보신탕 앞,10,360,600,Y,N,127.081063,37.14053311
밀머리로1번길,커피브라더 앞,10,360,300,N,N,127.0749993,37.14065874
동부대로436번길,광명크리닝 앞,10,360,600,Y,N,127.0804132,37.14077008
밀머리로1번길,밀머리로1번길 26-10 앞,10,360,600,Y,N,127.0761252,37.14104098
밀머리로1번길,하나약국 앞,10,360,300,N,N,127.0750086,37.14148095
남부대로441번길,남부대로441번길 45 앞,10,360,300,N,N,127.0845458,37.137413
남부대로,알티오라 남오산 앞,10,360,600,Y,N,127.0836684,37.13780334
남부대로,성호중고등학교 버스정류장 지도기준 6시 80m,10,360,600,Y,N,127.083689,37.13869312
남부대로,성호중고등학교 버스정류장 앞,10,360,600,Y,N,127.0835859,37.13955596
동부대로436번길,동부대로436번길 49 앞,10,360,600,Y,N,127.083015,37.13980415
동부대로436번길,메디위 앞,10,360,600,Y,N,127.0839775,37.14004225
부원로,대원아파트 버스정류장 앞,10,360,900,Y,N,127.086358,37.14250945
부원로,부원로 67-3 앞,10,360,1200,Y,N,127.0865189,37.14293058
부원로,부원로 67-9 앞,10,360,500,N,N,127.0871579,37.14317114
부원로,들밥집 축구장 앞,10,360,300,N,N,127.0873639,37.14367784
밀머리로1번길,카페온니 앞,10,360,900,N,N,127.0764071,37.14151385
밀머리로21번길,동규네과일 앞,10,360,900,N,N,127.0763396,37.14158823
밀머리로1번길,하나약국 앞,10,360,600,Y,N,127.0751072,37.14163633
밀머리로1번길,한주아파트 버스정류장 앞,10,360,600,Y,N,127.076292,37.14172567
밀머리로1번길,한국병원주차장 앞,10,360,600,N,N,127.076821,37.14175912
밀머리로1번길,조아미용실 앞,10,360,500,Y,N,127.0773528,37.14179031
밀머리로1번길,삼화 자동차정비공업사 앞,10,360,500,Y,N,127.0778425,37.14183955
원동로,원동92-1,10,360,300,N,N,127.081848,37.143587
동부대로,동부대로 468-15 앞,10,360,700,N,N,127.0800985,37.14385642
동부대로,대윤종합상사 앞,10,360,400,N,N,127.0791306,37.14394943
경기대로,오산로190번길 36-8 앞,10,360,400,N,N,127.0726327,37.14340845
오산로190번길,오산로190번길 36-2 앞,10,360,400,N,N,127.0726414,37.14368552
오산로190번길,오산로190번길 44 앞,10,360,800,Y,N,127.0732608,37.14396672
경기대로,경기대로 214 앞,10,360,600,N,N,127.0738264,37.14398214
오산로190번길,세븐일레븐 오산3호점 앞,10,360,800,Y,N,127.071882,37.1439991
오산로198번길,대원로38번길 15 앞,10,360,600,N,Y,127.0728341,37.14508881
오산로198번길,대원로38번길 14-1 앞,10,360,400,N,Y,127.0726147,37.14509795
오산로198번길,굽네치킨 오산대원점 앞,10,360,400,N,Y,127.0716579,37.1451143
대원로38번길,금성카센타 앞,10,360,400,N,N,127.0727048,37.1452308
대원로38번길,대원로38번길 9 앞,10,360,400,N,N,127.0727221,37.14562275
부원로,원4동마을입구 버스정류장 앞 맞은편 도로,10,360,600,Y,N,127.0853158,37.14404651
절골길,절골길 3 앞,10,360,300,N,Y,127.0853105,37.14438216
부원로,원4동마을입구 버스정류장 앞,10,360,1500,Y,N,127.0847844,37.14447039
절골길,절골길 8 앞,10,360,300,N,Y,127.0854851,37.14451494
절골길,절골길 7 앞,10,360,300,N,Y,127.0857132,37.14462065
절골길,절골길 16 앞,10,360,300,N,N,127.0861329,37.14498077
절골길,절골길 26 앞,10,360,300,N,Y,127.0879902,37.14509654
절골길,절골길 26 앞,10,360,300,N,Y,127.0877961,37.14512597
절골길,절골길 38 앞,10,360,300,N,Y,127.0885841,37.14517269
절골길,절골길 38 앞,10,360,300,N,Y,127.0889021,37.14520624
동부대로,오르다유치원 앞,10,360,400,N,N,127.0795697,37.14406177
동부대로,총각수산 주차장 앞,10,360,700,N,N,127.0800933,37.14426641
운천로,운암주공5단지 511동 앞,10,360,600,Y,N,127.0747722,37.1442834
운천로,운천로 16-7 앞,10,360,600,Y,N,127.0751605,37.14428991
운천로,신양아파트 입구 앞,10,360,600,Y,N,127.0743837,37.14698232
운암로,오산시 자원봉사 센터 건물 뒤,10,360,600,Y,N,127.0757459,37.14720898
운암로,우돈마실 앞,10,360,600,Y,N,127.0749159,37.14733115
운암로,운암로 19 앞,10,360,600,Y,N,127.0757719,37.147878
운암로,킨포크가든 앞,10,360,600,Y,N,127.0749278,37.14802496
운천로,운암로 37 지도기준 12시,10,360,600,Y,N,127.0759709,37.14989849
부산동길,시티자이107동 지도기준 10시방향,10,360,600,Y,N,127.0879729,37.14961312
부산동길,부산동길 29 건물 앞,10,360,300,N,N,127.0863633,37.14969315
부산동길,대명그린아트앞,10,360,300,N,N,127.0869995,37.14986163
부산동길,풍향원룸앞,10,360,300,N,N,127.0874697,37.15001672
부산동길,대성빌라 뒷편 비닐하우스 뒤,10,360,300,N,N,127.0881314,37.15034286
부산동길,통큰갈비 앞,10,360,600,Y,N,127.0883737,37.15063552
부산동길,시티자이102동앞,10,360,1000,Y,N,127.0902678,37.150767
부산동길,시티자이104동 앞,10,360,1000,Y,N,127.0890609,37.15106301
동부대로568번길,동부대로568번길 62-21 건물앞,10,360,300,N,N,127.0870882,37.151087
부산동길,자이프라자 오산다온유치원 사이,10,360,300,Y,N,127.0906876,37.15111134
부산중앙로,오산시티자이2차아파트 309동 앞,10,360,600,Y,N,127.0913855,37.15115811
부산중앙로,오산다온유치원 앞,10,360,600,Y,N,127.0912899,37.15115818
동부대로568번길,동부대로568번길 62-18 건물앞,10,360,300,N,N,127.0869588,37.15118171
부산동길,부산동길 62번길,10,360,800,Y,N,127.08867,37.15141
부산동길,부산동길 62번길,10,360,800,Y,N,127.08867,37.15141
부산동길,부산동길 62번길,10,360,800,Y,N,127.08867,37.15141
부산중앙로,오산시티자이2차.다온초교 버스정류장 우측,10,360,600,Y,N,127.0917836,37.15216698
동부대로568번길,동부대로568번길 32 건물앞,10,360,300,N,N,127.0832368,37.15225214
동부대로568번길,동부대로568번길 28 건물앞,10,360,300,N,N,127.0829104,37.15232896
동부대로568번길,동부대로568번길 23 건물앞,10,360,300,N,N,127.0825728,37.15239227
운천로,운천로 78 지도기준 12시,10,360,600,Y,N,127.0748593,37.14992623
운천로,네네치킨 맞은편 도로,10,360,600,Y,N,127.0746499,37.15152575
운천로,4단지 자동차공업사 앞,10,360,600,Y,N,127.0745263,37.1518457
동부대로568번길,두부마을입구,10,360,300,N,N,127.0820664,37.1525075
운천로,운천로 133-1 앞,10,360,600,Y,N,127.0746868,37.15480332
운천로,연희정원 앞,10,360,1000,Y,N,127.074611,37.15493177
운천로,운천로 135-1 앞,10,360,600,N,N,127.0746703,37.15514123
운천로,운천로 139 앞,10,360,600,Y,N,127.0749546,37.15517935
운천로,운천고 정문 앞,10,360,1200,Y,N,127.0803272,37.15522539
경기도동로8번길,경기도동로8번길 15 앞,10,360,600,N,N,127.074192,37.15524515
경기대로281번길,경기대로281번길 37 앞,10,360,600,N,N,127.0729003,37.15248646
경기대로218번길,경기대로281번길 39 앞,10,360,400,N,N,127.0729148,37.15289193
경기대로218번길,경기대로281번길 46 앞,10,360,400,N,N,127.0729209,37.1533402
오산로300번길,경기대로 321 앞,10,360,600,N,N,127.0734642,37.15356739
오산로300번길,오산로300번길 37 앞,10,360,600,N,N,127.072862,37.15357452
오산로300번길,오산로300번길 31 앞,10,360,600,N,N,127.0721584,37.15359747
성호대로93번길,버블런드리 오산시장점 앞,10,360,600,N,N,127.0716604,37.15370365
시장58번길,시장58번길 31,10,360,400,N,N,127.0726823,37.1540229
시장58번길,시장58번길 25 앞,10,360,400,N,N,127.071914,37.15403238
성호대로93번길,한빛교회 앞,10,360,600,N,N,127.0716695,37.15439521
대원로,아너스호텔 앞,10,360,400,N,N,127.0715849,37.14522022
원동로7번길,원동로7번길 33-2 앞,10,360,400,N,N,127.0692522,37.14541308
대원로,굽네치킨 오산대원점 앞,10,360,400,N,N,127.0715824,37.14562345
대원로29번길,세븐일레븐 오산원동점 앞,10,360,600,N,N,127.0716058,37.14654251
오산로226번길,시립오산어린이집 앞,10,360,400,N,N,127.0712939,37.14698647
오산로226번길,시립오산어린이집 앞,10,360,400,N,N,127.0710181,37.14699565
대원로29번길,오산로226번길 29 앞,10,360,600,N,N,127.0716175,37.14706062
오산로232번길,오산로232번길 25 앞,10,360,400,N,N,127.0713339,37.14762395
성호대로,오산우체국앞,10,360,700,Y,N,127.0707864,37.14895784
오산로272번길,오산로272번길 25 앞,10,360,400,Y,N,127.0713259,37.15111331
대원로38번길,대원로38번길 6 앞,10,360,400,N,N,127.0727112,37.14598544
대원로39번길,CU 오산나래점 앞,10,360,400,N,N,127.072746,37.1470374
대원로39번길,대원로39번길 8-1 앞,10,360,400,N,N,127.0727492,37.14750595
오산로232번길,파파존스 오산점 앞,10,360,400,N,N,127.0734219,37.14758213
오산로232번길,근혜유치원 앞,10,360,400,N,N,127.0717757,37.14761242
대원로29번길,근혜유치원 앞,10,360,600,N,N,127.0716576,37.1477454
대원로39번길,대원로39번길 23 앞,10,360,400,N,N,127.0727837,37.14828985
성호대로93번길,성호대로93번길 6 앞,10,360,600,Y,N,127.0716929,37.14939882
성호대로,경기대로281번길 19 앞,10,360,400,N,N,127.0724809,37.14946817
성호대로93번길,피자원 오산점 앞,10,360,400,Y,Y,127.071652,37.15073241
성호대로93번길,피자원 오산점 앞,10,360,400,Y,Y,127.0716212,37.15088786
경기대로281번길,성호대로 99-21 앞,10,360,400,Y,N,127.0728595,37.15097046
오산로272번길,경기대로 289 앞,10,360,600,N,N,127.073428,37.15106697
오산로272번길,오산로272번길 41 앞,10,360,600,N,N,127.0731466,37.15107841
오산로272번길,오산시 장애아재활치료 교육센터 앞,10,360,600,N,N,127.072747,37.15109442
오산로272번길,오산로272번길 30 앞,10,360,600,N,N,127.0718212,37.15109949
경기대로281번길,경기대로281번길 24 앞,10,360,600,N,N,127.0728711,37.1513151
경기대로281번길,경기대로281번길 26 앞,10,360,600,N,N,127.0728882,37.15153811
오산로278번길,오산로278번길 31 앞,10,360,400,N,Y,127.0720863,37.15171881
오산로278번길,오산로278번길 35 앞,10,360,400,N,Y,127.0724071,37.15172087
오산로272번길,오산로272번길 21 앞,10,360,600,N,N,127.0710332,37.15111573
성호대로93번길,성호대로93번길 39 앞,10,360,600,N,N,127.0716113,37.15237011
오산로290번길,포유25 오색시장점 앞,10,360,600,N,N,127.071015,37.15275117
오산로290번길,김명자헤어샵 앞,10,360,600,N,N,127.0705957,37.15276493
오산로300번길,오산로300번길 25 앞,10,360,600,N,N,127.071393,37.1536092
오산로300번길,제일빌딩 앞,10,360,600,N,N,127.0706106,37.15361643
오산로300번길,화성종묘 농약사 앞,10,360,600,N,N,127.070149,37.15362121
오산로300번길,오산로300번길 5 앞,10,360,600,N,N,127.0693498,37.1536397
시장58번길,성호대로93번길 55 앞,10,360,400,N,N,127.0715425,37.15403711
시장58번길,대일어린이집앞,10,360,400,N,N,127.0694994,37.15409239
오산천로 204번길,오산천로 204번길,10,360,600,N,N,127.06521,37.15224
오산천로,오산천로 204 앞,10,360,600,Y,N,127.0652285,37.15226116
청학로,오산대학앞 버스정류장 지도방향 6시,10,360,1200,Y,N,127.0628873,37.15261609
청학로,세산연립 옆,10,360,1800,Y,N,127.0628902,37.1526521
오산천로,성산새싹길 32 앞,10,360,600,Y,N,127.0658368,37.15276092
오산천로,쎄느하우스 앞,10,360,600,Y,N,127.0659973,37.15288472
